customer_id,customer_name,phone_number,message
1,Customer 1,9676971802,"Greetings, Your SIP of 15/09/2024 for Rs.10150.21 has been processed successfully from HDFC Bank."
1,Customer 1,9676971802,Spent Rs.8119.87 on Yes Bank Card XX7312 at AMAZON on 20/12/2024. Avl bal: Rs.4393.78
1,Customer 1,9676971802,"Greetings, Your SIP of 16/09/2024 for Rs.15363.29 has been processed successfully from Yes Bank."
1,Customer 1,9676971802,"Greetings, Your SIP of 23/07/2024 for Rs.14429.03 has been processed successfully from Yes Bank."
1,Customer 1,9676971802,Spent Rs.41223.68 on Axis Bank Card XX2216 at AMAZON on 18/04/2025. Avl bal: Rs.1624.99
1,Customer 1,9676971802,"Greetings, Your SIP of 04/08/2024 for Rs.42566.06 has been processed successfully from HDFC Bank."
1,Customer 1,9676971802,Spent Rs.45992.65 on Axis Bank Card XX3208 at AMAZON on 30/12/2024. Avl bal: Rs.6618.16
1,Customer 1,9676971802,"Greetings, Your SIP of 13/02/2025 for Rs.19066.86 has been processed successfully from SBI."
1,Customer 1,9676971802,Spent Rs.6062.39 on Kotak Bank Card XX7263 at AMAZON on 13/11/2024. Avl bal: Rs.6486.15
1,Customer 1,9676971802,Spent Rs.47290.6 on IDFC First Bank Card XX5740 at AMAZON on 07/04/2025. Avl bal: Rs.3941.95
1,Customer 1,9676971802,Spent Rs.26716.07 on IDFC First Bank Card XX1213 at AMAZON on 10/12/2024. Avl bal: Rs.3436.57
1,Customer 1,9676971802,Spent Rs.18037.97 on IDFC First Bank Card XX2861 at AMAZON on 06/11/2024. Avl bal: Rs.9526.32
1,Customer 1,9676971802,Spent Rs.17223.86 on SBI Card XX3480 at AMAZON on 17/05/2024. Avl bal: Rs.3982.55
1,Customer 1,9676971802,Spent Rs.24480.33 on Axis Bank Card XX9851 at AMAZON on 22/09/2024. Avl bal: Rs.8651.71
1,Customer 1,9676971802,EMI of Rs.14113.61 debited from A/C XX7714 on 08/06/2024. Next EMI on 08/06/2024. - Kotak Bank
1,Customer 1,9676971802,"Greetings, Your SIP of 24/01/2025 for Rs.22379.36 has been processed successfully from ICICI Bank."
1,Customer 1,9676971802,"Greetings, Your SIP of 15/11/2024 for Rs.30323.12 has been processed successfully from Axis Bank."
1,Customer 1,9676971802,Spent Rs.17404.51 on ICICI Bank Card XX5607 at AMAZON on 31/01/2025. Avl bal: Rs.9428.40
1,Customer 1,9676971802,Spent Rs.47863.88 on Yes Bank Card XX8136 at AMAZON on 27/07/2024. Avl bal: Rs.6631.15
1,Customer 1,9676971802,Spent Rs.46632.89 on Yes Bank Card XX1235 at AMAZON on 21/07/2024. Avl bal: Rs.2357.78
1,Customer 1,9676971802,"Greetings, Your SIP of 13/09/2024 for Rs.18992.93 has been processed successfully from IDFC First Bank."
1,Customer 1,9676971802,Spent Rs.20162.12 on HDFC Bank Card XX8556 at AMAZON on 13/07/2024. Avl bal: Rs.7157.28
1,Customer 1,9676971802,"Greetings, Your SIP of 14/01/2025 for Rs.36677.82 has been processed successfully from Kotak Bank."
1,Customer 1,9676971802,"Greetings, Your SIP of 19/01/2025 for Rs.24901.91 has been processed successfully from IDFC First Bank."
1,Customer 1,9676971802,"Greetings, Your SIP of 17/07/2024 for Rs.13899.73 has been processed successfully from SBI."
1,Customer 1,9676971802,Spent Rs.24796.9 on HDFC Bank Card XX7709 at AMAZON on 07/03/2025. Avl bal: Rs.6496.47
1,Customer 1,9676971802,Spent Rs.17424.57 on SBI Card XX6677 at AMAZON on 03/07/2024. Avl bal: Rs.2778.47
1,Customer 1,9676971802,"Greetings, Your SIP of 21/06/2024 for Rs.48571.79 has been processed successfully from Kotak Bank."
2,Customer 2,9807338968,"Greetings, Your SIP of 08/07/2024 for Rs.25327.11 has been processed successfully from Kotak Bank."
2,Customer 2,9807338968,Spent Rs.43806.56 on IDFC First Bank Card XX3907 at AMAZON on 29/05/2024. Avl bal: Rs.7893.38
2,Customer 2,9807338968,Spent Rs.4143.67 on Yes Bank Card XX9579 at AMAZON on 01/05/2025. Avl bal: Rs.4082.55
2,Customer 2,9807338968,"Greetings, Your SIP of 07/07/2024 for Rs.21255.28 has been processed successfully from Axis Bank."
2,Customer 2,9807338968,Spent Rs.25947.13 on HDFC Bank Card XX2805 at AMAZON on 29/08/2024. Avl bal: Rs.4091.58
2,Customer 2,9807338968,"Greetings, Your SIP of 08/08/2024 for Rs.7228.77 has been processed successfully from Yes Bank."
2,Customer 2,9807338968,"Greetings, Your SIP of 29/03/2025 for Rs.39779.51 has been processed successfully from Axis Bank."
2,Customer 2,9807338968,"Greetings, Your SIP of 22/10/2024 for Rs.26913.78 has been processed successfully from IDFC First Bank."
2,Customer 2,9807338968,"Greetings, Your SIP of 19/09/2024 for Rs.38313.32 has been processed successfully from ICICI Bank."
2,Customer 2,9807338968,Spent Rs.6421.51 on Yes Bank Card XX5061 at AMAZON on 11/01/2025. Avl bal: Rs.4268.52
2,Customer 2,9807338968,"Greetings, Your SIP of 17/01/2025 for Rs.22473.33 has been processed successfully from ICICI Bank."
2,Customer 2,9807338968,Spent Rs.45942.38 on IDFC First Bank Card XX9146 at AMAZON on 21/07/2024. Avl bal: Rs.1773.17
2,Customer 2,9807338968,"Greetings, Your SIP of 25/10/2024 for Rs.38339.88 has been processed successfully from IDFC First Bank."
2,Customer 2,9807338968,"Greetings, Your SIP of 15/05/2024 for Rs.35470.61 has been processed successfully from HDFC Bank."
2,Customer 2,9807338968,Spent Rs.41809.1 on ICICI Bank Card XX1484 at AMAZON on 29/03/2025. Avl bal: Rs.5718.53
2,Customer 2,9807338968,Spent Rs.1853.3 on Kotak Bank Card XX9926 at AMAZON on 29/10/2024. Avl bal: Rs.5879.19
2,Customer 2,9807338968,"Greetings, Your SIP of 11/06/2024 for Rs.3239.63 has been processed successfully from HDFC Bank."
2,Customer 2,9807338968,Spent Rs.13482.54 on Yes Bank Card XX8011 at AMAZON on 28/09/2024. Avl bal: Rs.9467.94
2,Customer 2,9807338968,"Greetings, Your SIP of 01/10/2024 for Rs.32394.96 has been processed successfully from ICICI Bank."
2,Customer 2,9807338968,"Greetings, Your SIP of 20/06/2024 for Rs.30750.98 has been processed successfully from ICICI Bank."
2,Customer 2,9807338968,Spent Rs.40006.18 on HDFC Bank Card XX5614 at AMAZON on 28/07/2024. Avl bal: Rs.1945.47
2,Customer 2,9807338968,"Greetings, Your SIP of 25/06/2024 for Rs.10278.58 has been processed successfully from SBI."
2,Customer 2,9807338968,"Greetings, Your SIP of 24/09/2024 for Rs.16660.68 has been processed successfully from Axis Bank."
2,Customer 2,9807338968,Spent Rs.38846.01 on IDFC First Bank Card XX9911 at AMAZON on 28/04/2025. Avl bal: Rs.3489.25
2,Customer 2,9807338968,Spent Rs.3509.03 on SBI Card XX4690 at AMAZON on 01/08/2024. Avl bal: Rs.7668.53
2,Customer 2,9807338968,"Greetings, Your SIP of 14/08/2024 for Rs.17555.72 has been processed successfully from IDFC First Bank."
2,Customer 2,9807338968,"Greetings, Your SIP of 26/04/2025 for Rs.24922.04 has been processed successfully from Kotak Bank."
2,Customer 2,9807338968,"Greetings, Your SIP of 08/10/2024 for Rs.48336.04 has been processed successfully from SBI."
2,Customer 2,9807338968,"Greetings, Your SIP of 07/07/2024 for Rs.13518.48 has been processed successfully from Axis Bank."
2,Customer 2,9807338968,Spent Rs.48947.92 on Yes Bank Card XX1185 at AMAZON on 28/02/2025. Avl bal: Rs.3858.33
2,Customer 2,9807338968,Spent Rs.9130.08 on ICICI Bank Card XX4752 at AMAZON on 18/06/2024. Avl bal: Rs.6009.41
